index_name,relation_name,uniqueness,status,sort_order,field_name,field_position
PK_RCDCTRLNUMBER_0,RCDCTRLNUMBER,UNIQUE,ACTIVE,ASC,RCDCTRL_ID,0
FK_RCDDEPOSIT_RCDCTRLNUM,RCDDEPOSIT,NON_UNIQUE,ACTIVE,ASC,RCDCTRL_ID,0
PK_RCDDEPOSIT,RCDDEPOSIT,UNIQUE,ACTIVE,ASC,DEPOSIT_ID,0
PK_RCDFUNDTYPEBREAKDOWN,RCDFUNDTYPEBREAKDOWN,UNIQUE,ACTIVE,ASC,FUNDTYPEBREAKDOWN_ID,0
PK_RCDORBOOKLET_1,RCDORBOOKLET,UNIQUE,ACTIVE,ASC,ORB_ID,0
FK_RCDORBKLETDFCTIV_RCDCTRLNUM,RCDORBOOKLETDEFECTIVE,NON_UNIQUE,ACTIVE,ASC,RCDCTRL_ID,0
PK_RCDDEFECTIVE_ORID,RCDORBOOKLETDEFECTIVE,UNIQUE,ACTIVE,ASC,DEFECTIVE_ORBID,0
RCDORBOOKLETINVENTORY,RCDORBOOKLETINVENTORY,UNIQUE,ACTIVE,ASC,ORINV_ID,0
PK_REMITTANCE,REMITTANCE,UNIQUE,ACTIVE,ASC,REMIT_ID,0
IDX_PREDOMRPTDETAIL,RPTASSESSMENT,NON_UNIQUE,ACTIVE,ASC,PREDOMRPTDETAILID,0
IDX_RPTASSESSMENT1,RPTASSESSMENT,NON_UNIQUE,ACTIVE,ASC,PREVTAXTRANS_ID,0
IDX_RPTASSESSMENT_GRYEAR,RPTASSESSMENT,NON_UNIQUE,ACTIVE,ASC,GRYEAR,0
IDX_RPTASSESSMENT_PROPID,RPTASSESSMENT,NON_UNIQUE,ACTIVE,ASC,PROP_ID,0
IDX_RPTASSESSMENT_RESTRICTION,RPTASSESSMENT,NON_UNIQUE,ACTIVE,ASC,RPTRESTRICTION_CT,0
IDX_RPTASSESSMENT_TAXABILITYBV,RPTASSESSMENT,NON_UNIQUE,ACTIVE,ASC,TAXABILITY_BV,0
