constraint_name,relation_name,index_name,field_name,field_position,referenced_constraint,referenced_relation,referenced_field,update_rule,delete_rule
FK_T_EECLEARANCE_1,T_EECLEARANCE,FK_T_EECLEARANCE_1,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_T_EERATE,T_EERATE,FK_T_EERATE,ITAXTYPE_CT,0,PK_T_ITAXTYPE_1,T_ITAXTYPE,CODE,RESTRICT,RESTRICT
FK_T_EERATE_3,T_EERATE,FK_T_EERATE_3,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_T_EERATE_5,T_EERATE,FK_T_EERATE_5,PAYPERIOD_CT,0,PK_T_PAYPERIOD_1,T_PAYPERIOD,CODE,RESTRICT,RESTRICT
FK_ITAXTYPE_ACCNTCODE,T_ITAXTYPE,FK_ITAXTYPE_ACCNTCODE,ACCOUNTCODE_CT,0,PK_T_ACCOUNTCODE_1,T_ACCOUNTCODE,CODE,RESTRICT,RESTRICT
FK_T_ITAXTY_REFERENCE_T_ACCOUN,T_ITAXTYPE,FK_T_ITAXTY_REFERENCE_T_ACCOUN,ACCOUNTCODE_CT,0,PK_T_ACCOUNTCODE_1,T_ACCOUNTCODE,CODE,RESTRICT,RESTRICT
FK_MACHTYPE_MACHGRP,T_MACHINETYPE,FK_MACHTYPE_MACHGRP,MACHGROUP_CT,0,PK_T_MACHINEGROUP_1,T_MACHINEGROUP,CODE,RESTRICT,RESTRICT
FK_T_MCHRATE,T_MCHRATE,FK_T_MCHRATE,ITAXTYPE_CT,0,PK_T_ITAXTYPE_1,T_ITAXTYPE,CODE,RESTRICT,RESTRICT
FK_T_MCHRATE_1,T_MCHRATE,FK_T_MCHRATE_1,REQUIREMENT_ID,0,PK_T_REQUIREMENT_1,T_REQUIREMENT,CODE,RESTRICT,RESTRICT
FK_T_MCHRATE_3,T_MCHRATE,FK_T_MCHRATE_3,MCHTYPE_CT,0,PK_T_MCHTYPE_1,T_MCHTYPE,CODE,RESTRICT,RESTRICT
FK_T_MCHREQUIREMENT_1,T_MCHREQUIREMENT,FK_T_MCHREQUIREMENT_1,REQUIREMENT_ID,0,PK_T_REQUIREMENT_1,T_REQUIREMENT,CODE,RESTRICT,RESTRICT
FK_T_MCHREQUIREMENT_2,T_MCHREQUIREMENT,FK_T_MCHREQUIREMENT_2,MCHTYPE_CT,0,PK_T_MCHTYPE_1,T_MCHTYPE,CODE,RESTRICT,RESTRICT
FK_MUNICIPALITY_PROVINCE,T_MUNICIPALITY,FK_MUNICIPALITY_PROVINCE,PROVINCE_CT,0,PK_T_PROVINCE_1,T_PROVINCE,CODE,RESTRICT,RESTRICT
FK_PNLTYINTRSTPRM_MNCPLTY,T_PENALTYINTERESTPARAM,FK_PNLTYINTRSTPRM_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_T_RGNLPRM_MNCPLTY,T_REGIONALPARAMS,FK_T_RGNLPRM_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_SFMVBLDGCOST_MNCPLTY,T_SFMVBLDGCOST,FK_SFMVBLDGCOST_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
